original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
Bayer 04 Leverkusen,bayer 04 leverkusen,bayer 04 leverkusen,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Bayer 04 Leverkusen,"Bayer 04 Leverkusen, Belgium",,
Borussia Dortmund,borussia dortmund,borussia dortmund,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Borussia Dortmund,"Borussia Dortmund, Belgium",,
FC Schalke 04,halke 04,halke 04,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Schalke 04,"FC Schalke 04, Belgium",,
Hannover 96,hannover 96,angers o,52.63157894736843,beerhot,22.22222222222222,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Hannover 96,"Hannover 96, Belgium",,
VfL Wolfsburg,vfl wolfsburg,vfl wolfsburg,100.0,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,VfL Wolfsburg,"VfL Wolfsburg, Belgium",,
1. FC Köln,1  koln,1 koln,92.3076923076923,krc genk,25.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,1. FC Köln,"1. FC Köln, Belgium",,
Eintracht Frankfurt,eintrht frankfurt,eintrht frankfurt,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Eintracht Frankfurt,"Eintracht Frankfurt, Belgium",,
Hertha BSC Berlin,hertha b berlin,hertha b,69.56521739130434,krc genk,34.78260869565217,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Hertha BSC Berlin,"Hertha BSC Berlin, Belgium",,
DSC Arminia Bielefeld,d arminia bielefeld,arminia bielefeld,94.44444444444444,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,DSC Arminia Bielefeld,"DSC Arminia Bielefeld, Belgium",,
SV Werder Bremen,sv werder bremen,sv werder bremen,100.0,zulte waregem,41.3793103448276,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,SV Werder Bremen,"SV Werder Bremen, Belgium",,
FC Energie Cottbus,energie cottbus,fenerbahce sk,50.0,beerhot,45.45454545454546,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Energie Cottbus,"FC Energie Cottbus, Belgium",,
